,Unnamed: 0,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,PER_norm,TS%_norm,USG%_norm,WS/48_norm,BPM_norm,VORP_norm,PerfScore
27,27,Giannis Antetokounmpo,29.0,MIL,PF,73.0,73.0,2567.0,29.9,0.649,0.091,0.571,8.6,27.0,17.9,32.7,1.6,2.6,12.7,33.0,9.5,3.7,13.2,0.246,6.7,2.4,9.0,7.2,MVP-4DPOY-9CPOY-12ASNBA1,2.635002615145953,0.9480156707139828,2.424548999712401,1.6025813862207423,2.042977463343389,5.896270086159246,2.591566036882619
28,28,Michael Porter Jr.,25.0,DEN,SF,81.0,81.0,2565.0,15.5,0.601,0.513,0.102,4.7,19.3,12.2,6.7,0.8,1.8,7.5,20.7,3.1,3.1,6.2,0.115,1.2,-1.2,0.1,1.3,none,0.4693815809244307,0.5131008801477568,0.45214091338993295,0.41662681876040764,0.3949151774313433,0.7652975923038551,0.5019104938262878
29,29,Shai Gilgeous-Alexander,25.0,OKC,PG,75.0,75.0,2553.0,29.3,0.636,0.181,0.436,3.0,14.7,9.1,29.8,2.8,2.4,8.4,32.8,10.5,4.2,14.6,0.275,6.7,2.3,9.0,7.1,MVP-2DPOY-7CPOY-3ASNBA1,2.5447684053867228,0.8302262482689633,2.3924773235120353,1.8651209469562366,2.042977463343389,5.809304450670171,2.58081247302292
30,30,Grayson Allen,28.0,PHO,SG,75.0,74.0,2513.0,13.8,0.679,0.652,0.216,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,4.7,2.2,6.9,0.132,1.1,0.1,1.3,2.0,none,0.2137179866066122,1.219837414817874,-0.5420810488213923,0.5705293198812145,0.6171258227228551,1.374057040727376,0.5755310893224231
31,31,LeBron James,39.0,LAL,PF,71.0,71.0,2504.0,23.7,0.63,0.286,0.318,2.8,19.3,11.5,37.5,1.7,1.3,14.5,29.2,5.7,2.8,8.5,0.164,5.5,0.9,6.5,5.4,CPOY-10ASNBA3,1.7025824476339084,0.7758618994481851,1.8151871519054597,0.8602281455203803,1.580038618986073,4.330888647355907,1.844131151808319
32,32,Paul George,33.0,LAC,PF,74.0,74.0,2502.0,19.3,0.613,0.476,0.235,1.7,15.3,8.8,16.1,2.2,1.3,10.1,26.6,4.4,2.8,7.3,0.14,2.9,0.2,3.2,3.3,AS,1.0408649093995548,0.6218295777893134,1.3982553613007105,0.642954026291006,0.9689593444344154,2.5046103020853434,1.1962455868833903
33,33,Dennis Schröder,30.0,2TM,PG,80.0,58.0,2486.0,13.3,0.55,0.397,0.23,1.7,9.2,5.3,28.0,1.2,0.6,13.0,20.3,2.3,1.0,3.3,0.063,-0.5,-1.3,-1.8,0.1,none,0.1385228118072538,0.05100391517114265,0.3879975609892025,-0.054133772903236795,0.043081655719782966,-0.2782900335650381,0.0480303562031845
34,34,Dennis Schröder,30.0,TOR,PG,51.0,33.0,1559.0,13.9,0.559,0.394,0.267,1.5,8.5,4.9,28.0,1.4,0.5,11.7,19.4,2.0,0.5,2.5,0.076,-0.5,-1.3,-1.8,0.1,none,0.22875702156648384,0.13255043840231004,0.24367501808755818,0.06355637501267429,0.043081655719782966,-0.2782900335650381,0.07222174587062853
35,35,Dennis Schröder,30.0,BRK,PG,29.0,25.0,927.0,12.3,0.535,0.402,0.174,1.9,10.3,6.0,28.0,0.9,0.9,15.0,21.8,0.3,0.5,0.8,0.042,-0.5,-1.4,-1.9,0.0,none,-0.011867537791463021,-0.08490695688080299,0.6285351324919425,-0.24424862722893934,0.024564101945490337,-0.3652556690541126,-0.008863259419647532
36,36,D'Angelo Russell,27.0,LAL,PG,76.0,69.0,2484.0,16.0,0.588,0.505,0.178,1.3,8.9,5.3,27.6,1.3,1.3,11.8,23.0,3.3,1.8,5.1,0.099,1.7,-0.8,0.9,1.8,none,0.5445767557237892,0.3953114577027373,0.8209651896941343,0.2717774059408248,0.5430556076256845,1.2001257697492274,0.629302031072733
37,37,James Harden,34.0,LAC,PG,72.0,72.0,2470.0,18.6,0.612,0.594,0.418,1.6,14.8,8.4,33.6,1.5,2.1,16.0,20.6,5.9,2.5,8.4,0.163,3.8,0.3,4.1,3.8,none,0.9355916646804531,0.6127688529858503,0.4361050752897506,0.8511750572191563,1.1356173284030493,2.9394384795307156,1.1517827430181626
38,38,Devin Booker,27.0,PHO,PG,68.0,68.0,2447.0,21.9,0.611,0.32,0.35,2.7,11.1,7.1,31.2,1.2,1.0,10.6,29.8,7.2,2.0,9.2,0.181,4.0,-1.0,3.0,3.1,ASNBA3,1.4318798183562182,0.6037081281823873,1.9114021805065557,1.014130646641187,0.9319242368858301,2.330679031107195,1.370620673613229
39,39,Jarrett Allen,25.0,CLE,C,77.0,77.0,2442.0,21.8,0.664,0.007,0.383,11.3,25.8,18.7,13.2,1.1,3.0,11.2,19.4,6.8,3.9,10.7,0.21,2.1,0.9,3.0,3.1,DPOY-10,1.4168407833963468,1.0839265427659286,0.24367501808755818,1.2766702073766811,0.9319242368858301,2.330679031107195,1.2139526366032567
40,40,Jabari Smith Jr.,20.0,HOU,PF,76.0,76.0,2424.0,13.8,0.571,0.456,0.222,6.1,21.3,13.6,7.1,1.0,2.3,8.9,17.6,2.4,3.2,5.6,0.111,-0.5,0.1,-0.4,1.0,none,0.2137179866066122,0.24127913604386556,-0.044970067715729374,0.3804144655555119,0.30232740855988005,0.5044006858366318,0.266194935814462
41,41,Stephen Curry,35.0,GSW,PG,74.0,74.0,2421.0,20.6,0.616,0.606,0.224,1.7,12.9,7.4,24.7,1.1,1.0,11.7,31.3,5.2,2.0,7.2,0.142,6.3,-1.1,5.2,4.4,CPOY-1ASNBA3,1.2363723638778867,0.6490117521997024,2.1519397520092958,0.6610602028934536,1.3393104199202686,3.4612322924651626,1.583154463894295
42,42,Bam Adebayo,26.0,MIA,C,71.0,71.0,2416.0,19.8,0.576,0.041,0.381,7.4,27.3,17.3,18.9,1.7,2.7,12.0,24.9,2.9,4.3,7.2,0.144,0.8,1.7,2.4,2.7,DPOY-3ASDEF1,1.1160600841989132,0.2865827600611808,1.1256461135976048,0.6791663794959015,0.8208189142400742,1.9828164891508973,1.001848456790762
